id,page_views,downloads,columns,agency,d,r,g,b
fxwm-3t4n,378,1504.0,15,Department of Education (DOE),341.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
weaz-wxw9,375,1385.0,5,Department of Education (DOE),86.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
i8ys-e4pm,374,1223.0,14,Department of Education (DOE),529.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
k659-gwja,373,1343.0,4,Department of Probation (DOP),573.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
rqgf-94xs,373,343.0,6,Department of Health and Mental Hygiene (DOHMH),311.0,0.7372549019607844,0.5019607843137255,0.7411764705882353
pask-bcmz,373,494.0,0,Office of Emergency Management (OEM),0.0,0.7,0.7,0.0
5a8g-vpdd,373,182.0,8,Department of Education (DOE),354.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
fsis-j6x5,373,1457.0,3,Department of Probation (DOP),573.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
6cne-um3h,373,631.0,0,Department of City Planning (DCP),0.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
qrz6-23fw,372,1755.0,9,Department of Education (DOE),407.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
y8tr-23bj,372,881.0,0,Department of Parks and Recreation (DPR),0.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
8fhd-nzw8,371,192.0,10,Human Resources Administration (HRA),13.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
m6ad-jy3s,371,153.0,72,Department of Small Business Services (SBS),579.0,0.7019607843137254,0.8705882352941177,0.4117647058823529
ph29-5mxy,370,1215.0,3,Department of Probation (DOP),573.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
avsi-2fp7,370,1498.0,24,Department of Education (DOE),407.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
ding-39n6,368,339.0,0,Administration for Children's Services (ACS),0.0,0.7,0.7,0.0
e64w-ctmw,368,900.0,18,Mayor's Office of Management & Budget (OMB),110.0,1.0,0.9294117647058824,0.43529411764705883
26kp-bgdh,367,1252.0,15,Department of Education (DOE),372.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
s9xf-ztqu,366,1247.0,9,Department of Education (DOE),407.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
3nr6-bnks,366,632.0,0,Department of Information Technology & Telecommunications (DoITT),0.0,1.0,1.0,0.7019607843137254
ubv8-6n5w,365,1350.0,21,Department of Education (DOE),43.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
qb86-fg8z,365,337.0,3,Mayor's Office for Economic Opportunity,78.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
58k2-kgtb,362,518.0,0,Department of City Planning (DCP),0.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
gt5i-dmde,362,239.0,4,Manhattan Borough President (MBPO),76.0,0.7,0.7,0.0
tsy7-gcm8,361,1444.0,18,Department of Education (DOE),758.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
q9xk-w9iv,360,1063.0,12,School Construction Authority (SCA),42.0,1.0,1.0,0.7019607843137254
qh62-9utz,360,601.0,0,Department of City Planning (DCP),0.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
pbk5-6r7z,360,78.0,4,Department of Transportation (DOT),13.0,0.984313725490196,0.5019607843137255,0.4470588235294118
gcx5-axug,359,197.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
xyq2-jjkn,358,205.0,16,Civilian Complaint Review Board (CCRB),9.0,0.7,0.7,0.0
tar7-vww3,358,606.0,0,Department of Information Technology & Telecommunications (DoITT),0.0,1.0,1.0,0.7019607843137254
vve2-26rs,358,1320.0,15,Department of Education (DOE),341.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
en2c-j6tw,357,1721.0,58,Department of Finance (DOF),707.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
sqb7-p8nz,478,1578.0,23,Department of Education (DOE),645.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
dsmz-77k9,478,281.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
45j8-f6um,477,188.0,39,Department of Education (DOE),588.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
wycc-5aqt,477,163.0,23,Landmarks Preservation Commission (LPC),552.0,0.7,0.7,0.0
bjmk-35w5,476,1106.0,7,School Construction Authority (SCA),913.0,1.0,1.0,0.7019607843137254
pzz2-ca2q,475,1564.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
qphc-zrtc,475,1403.0,16,Department of Education (DOE),422.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
8eux-rfe8,474,204.0,30,Department of Health and Mental Hygiene (DOHMH),208.0,0.7372549019607844,0.5019607843137255,0.7411764705882353
sgvu-nui7,474,301.0,4,Department of Housing Preservation and Development (HPD),53.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
p26e-k6k9,474,1624.0,29,NYC Independent Budget Office (IBO),210.0,0.7,0.7,0.0
5i9t-mvdt,473,1789.0,20,NYC Independent Budget Office (IBO),7.0,0.7,0.7,0.0
emuv-tx7t,473,292.0,63,Department of Small Business Services (SBS),572.0,0.7019607843137254,0.8705882352941177,0.4117647058823529
k3qa-jvkc,472,2185.0,27,Department of Youth and Community Development (DYCD),872.0,0.8,0.9215686274509803,0.7725490196078432
esw6-z4id,470,1904.0,27,Department of Youth and Community Development (DYCD),665.0,0.8,0.9215686274509803,0.7725490196078432
gmi7-62cd,470,452.0,5,Department of Housing Preservation and Development (HPD),63.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
7zhs-43jt,469,1517.0,40,NYC Independent Budget Office (IBO),7.0,0.7,0.7,0.0
7acq-q3tq,467,416.0,0,Department of Information Technology & Telecommunications (DoITT),0.0,1.0,1.0,0.7019607843137254
5kqf-fg3n,466,306.0,81,Department of Consumer Affairs (DCA),757.0,0.984313725490196,0.5019607843137255,0.4470588235294118
vn4m-mk4t,466,2046.0,28,Mayor's Office of Management & Budget (OMB),520.0,1.0,0.9294117647058824,0.43529411764705883
tvhc-4n5n,465,442.0,39,Department of Information Technology & Telecommunications (DoITT),769.0,1.0,1.0,0.7019607843137254
3btx-p4av,465,1245.0,57,Department of Finance (DOF),703.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
usap-qc7e,464,1201.0,16,Department of Education (DOE),422.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
m6ap-zcwi,464,75.0,19,Department of Transportation (DOT),736.0,0.984313725490196,0.5019607843137255,0.4470588235294118
